"register_name","enum_name","bits","bit_name","value","mask","description"
"BG3CNT",,"5-2","character_base_block",,"0b1111",
"BG3CNT",,"1-0","priority",,"0b11",
,,,,,,
"OBJ_ATTRIBUTE_0","obj_shape","15-14","square","0b00",,
"OBJ_ATTRIBUTE_0","obj_shape","15-14","long_rectangle","0b01",,
"OBJ_ATTRIBUTE_0","obj_shape","15-14","tall_rectangle","0b10",,
"OBJ_ATTRIBUTE_0","color_mode",13,"16_color_mode",0,,
"OBJ_ATTRIBUTE_0","color_mode",13,"256_color_mode",1,,
"OBJ_ATTRIBUTE_0","mosaic",12,"off",0,,
"OBJ_ATTRIBUTE_0","mosaic",12,"on",1,,
"OBJ_ATTRIBUTE_0","obj_mode","11-10","normal","0b00",,
"OBJ_ATTRIBUTE_0","obj_mode","11-10","translucent","0b01",,
"OBJ_ATTRIBUTE_0","obj_mode","11-10","obj_window","0b10",,
"OBJ_ATTRIBUTE_0","obj_mode","11-10","bitmap_obj","0b11",,
"OBJ_ATTRIBUTE_0","double_size",9,"disable",0,,
"OBJ_ATTRIBUTE_0","double_size",9,"enable",1,,
"OBJ_ATTRIBUTE_0","affine_transformation",8,"disable",0,,
"OBJ_ATTRIBUTE_0","affine_transformation",8,"enable",1,,
"OBJ_ATTRIBUTE_0",,"7-0","y_coordinate",,"0xff",
